AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,A_MEAN,MEAN_PRSE,A_PCT10,A_PCT25,AM_ROUND,AM,PT10,PT25
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,00-0000,All Occupations,total,"147,886,000",0,"61,900",0.2,"27,340","33,330","60,000",61.9,27.34,33.33
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-0000,Management Occupations,major,"9,860,740",0.6,"131,200",0.6,"50,290","75,350","130,000",131.2,50.29,75.35
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-1000,Top Executives,minor,"3,618,820",0.3,"129,050",1.1,"43,440","62,520","130,000",129.05,43.44,62.52
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-1010,Chief Executives,broad,"199,240",0.9,"246,440",1.6,"74,920","122,480","250,000",246.44,74.92,122.48
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-1011,Chief Executives,detailed,"199,240",0.9,"246,440",1.6,"74,920","122,480","250,000",246.44,74.92,122.48
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-1020,General and Operations Managers,broad,"3,376,680",0.3,"122,860",1.1,"43,470","62,070","120,000",122.86,43.47,62.07
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-1021,General and Operations Managers,detailed,"3,376,680",0.3,"122,860",1.1,"43,470","62,070","120,000",122.86,43.47,62.07
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-1030,Legislators,broad,"42,890",2.1,"71,100",1.7,"20,970","28,690","70,000",71.1,20.97,28.69
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-1031,Legislators,detailed,"42,890",2.1,"71,100",1.7,"20,970","28,690","70,000",71.1,20.97,28.69
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,Nov-00,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",minor,"977,490",2,"152,320",0.4,"64,890","95,100","150,000",152.32,64.89,95.1
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,10-Nov,Advertising and Promotions Managers,broad,"22,010",3.1,"147,050",2.2,"60,380","85,020","150,000",147.05,60.38,85.02
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,11-Nov,Advertising and Promotions Managers,detailed,"22,010",3.1,"147,050",2.2,"60,380","85,020","150,000",147.05,60.38,85.02
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,20-Nov,Marketing and Sales Managers,broad,"864,970",2.1,"153,470",0.4,"64,730","95,790","150,000",153.47,64.73,95.79
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,21-Nov,Marketing Managers,detailed,"328,570",1.1,"158,280",0.6,"76,790","103,060","160,000",158.28,76.79,103.06
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,22-Nov,Sales Managers,detailed,"536,390",2.8,"150,530",0.4,"61,040","87,910","150,000",150.53,61.04,87.91
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,30-Nov,Public Relations and Fundraising Managers,broad,"90,510",1.5,"142,610",0.7,"67,500","90,500","140,000",142.61,67.5,90.5
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,Nov-32,Public Relations Managers,detailed,"64,280",1.4,"150,030",0.8,"71,710","96,280","150,000",150.03,71.71,96.28
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,Nov-33,Fundraising Managers,detailed,"26,240",2.7,"124,450",1.3,"63,320","80,330","120,000",124.45,63.32,80.33
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,Nov-00,Operations Specialties Managers,minor,"2,322,010",1.2,"148,190",0.4,"73,290","97,570","150,000",148.19,73.29,97.57
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,10-Nov,Administrative Services and Facilities Managers,broad,"353,550",1.5,"112,440",0.3,"59,150","77,260","110,000",112.44,59.15,77.26
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,12-Nov,Administrative Services Managers,detailed,"236,570",2.1,"115,640",0.4,"59,070","78,490","120,000",115.64,59.07,78.49
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,13-Nov,Facilities Managers,detailed,"116,980",0.6,"105,970",0.4,"59,280","75,190","110,000",105.97,59.28,75.19
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,20-Nov,Computer and Information Systems Managers,broad,"533,220",1.2,"173,670",0.4,"97,430","127,180","170,000",173.67,97.43,127.18
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,21-Nov,Computer and Information Systems Managers,detailed,"533,220",1.2,"173,670",0.4,"97,430","127,180","170,000",173.67,97.43,127.18
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,30-Nov,Financial Managers,broad,"740,780",1.2,"166,050",0.5,"79,050","104,150","170,000",166.05,79.05,104.15
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,Nov-31,Financial Managers,detailed,"740,780",1.2,"166,050",0.5,"79,050","104,150","170,000",166.05,79.05,104.15
99,U.S.,1,US,0,Cross-industry,cross-industry,1235,Nov-50,Industrial Production Managers,broad,"211,710",0.6,"120,900",0.4,"67,720","85,350","120,000",120.9,67.72,85.35
